task_id,project_type,business_domain,phase,gate,task_name,task_alias,owner_role,owner_name,responsible_department,collaborate_departments,input_doc,deliverable,approval_role,approval_mode,system_node,trigger_condition,due_rule,is_required,version,effective_date,source
T011,青衡高压电源项目,整机,A样阶段,GR3 A样启动评审,A样试制问题跟踪,A样问题,项目经理,周宁,项目管理部,,A样试制记录,A样问题跟踪表,项目经理,会签,GR3-011,A样试制完成后,问题提出后2个工作日内更新,是,V2.0,2025-03-15,SYS-V1继承
T012,启岚整机集成项目,热管理,A样阶段,GR3 A样启动评审,A样测试方案,A样测试,测试工程师,秦若南,热管理开发部,,A样设计输入冻结单,A样DVP&R测试方案,质量工程师,会签,GR3-012,A样样件入库后,测试前3个工作日,是,V2.0,2025-03-15,U008;MIN-004
T013,曜川电驱平台项目,传动系统,B1样阶段,GR4 B样启动评审,B1样问题关闭计划,B1关闭,项目经理,周宁,项目管理部,,A样测试报告,B1样问题关闭计划,项目经理,会签,GR4-013,A样问题评审完成后,GR4前5个工作日,是,V2.0,2025-03-15,SYS-V1继承
T014,澜星热管理总成项目,车载软件,B1样阶段,GR4 B样启动评审,B1样验证执行,B1验证,测试工程师,秦若南,软件开发部,,A样测试方案,B1样验证报告,质量工程师,会签,GR4-014,B1样件齐套后,测试完成后3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T015,青衡高压电源项目,电机,B1样阶段,GR4 B样启动评审,B1样设计问题复盘,B1复盘,系统工程师,陆知衡,电机系统部,,B1样验证报告,B1样设计问题复盘表,项目经理,会签,GR4-015,B1验证报告发布后,GR4后5个工作日内,是,V2.0,2025-03-15,SYS-V1继承
T016,启岚整机集成项目,电控,B2样阶段,GR5 设计冻结评审,B2样设计冻结评审,设计冻结,系统工程师,陆知衡,电控软件部,,B1样设计问题复盘表,设计冻结评审包,质量工程师,会签,GR5-016,B1问题关闭率达到90%,GR5前5个工作日,是,V2.0,2025-03-15,U015;MIN-011
T017,曜川电驱平台项目,电源,B2样阶段,GR5 设计冻结评审,B2样BOM冻结,BOM冻结,硬件工程师,沈清和,电源开发部,,设计冻结评审包,B2样BOM冻结清单,供应商质量工程师,会签,GR5-017,设计冻结评审通过后,GR5前3个工作日,是,V2.0,2025-03-15,U014;MIN-010
T018,澜星热管理总成项目,整机,B2样阶段,GR5 设计冻结评审,B2样测试计划更新,测试计划更新,测试工程师,秦若南,整机集成部,,B1样验证报告,B2样测试计划,质量工程师,会签,GR5-018,B2样件计划确认后,测试前5个工作日,是,V2.0,2025-03-15,SYS-V1继承
T019,青衡高压电源项目,热管理,C样阶段,GR6 生产件批准评审,PFMEA,过程FMEA,工艺工程师,罗星野,制造工程部,,设计冻结评审包,PFMEA记录,质量工程师,会签,GR6-019,工艺路线发布后,GR6前5个工作日,是,V2.0,2025-03-15,SYS-V1继承
T020,启岚整机集成项目,传动系统,C样阶段,GR6 生产件批准评审,PPAP资料准备,PPAP准备,供应商质量工程师,姜予安,质量管理部,,B2样BOM冻结清单,PPAP提交包及检查清单,质量工程师,会签,GR6-020,C样试生产计划发布后,GR6前7个工作日,是,V2.0,2025-03-15,U010;MIN-006
T021,曜川电驱平台项目,车载软件,C样阶段,GR6 生产件批准评审,C样成本复核,成本复核,成本经理,韩知夏,项目管理部,,B2样BOM冻结清单,C样成本复核表,项目财务经理,会签,GR6-021,C样BOM稳定后,GR6前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T022,澜星热管理总成项目,电机,D样阶段,GR7 SOP准备评审,D样生产验证,生产验证,制造工程师,傅景元,制造工程部,,C样试生产记录,D样生产验证报告,制造工程师,单人审批,GR7-022,D样生产启动后,GR7前5个工作日,是,V2.0,2025-03-15,SYS-V1继承
T023,青衡高压电源项目,电控,D样阶段,GR7 SOP准备评审,D样质量门审核,质量门,质量工程师,何沐川,质量管理部,,D样生产验证报告,D样质量门审核表,项目经理,会签,GR7-023,D样验证完成后,GR7前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T024,启岚整机集成项目,电源,D样阶段,GR7 SOP准备评审,SOP准备检查,SOP检查,项目经理,周宁,项目管理部,,D样质量门审核表,SOP准备检查表,项目经理,会签,GR7-024,SOP准备评审排期后,GR7前4个工作日,是,V2.0,2025-03-15,U020;MIN-016
T025,曜川电驱平台项目,整机,SOP阶段,GR8 项目总结,SOP首批问题收敛,首批收敛,质量工程师,何沐川,质量管理部,,SOP准备检查表,SOP首批问题清单,项目经理,会签,GR8-025,首批量产完成后,SOP后5个工作日,是,V2.0,2025-03-15,SYS-V1继承
T026,澜星热管理总成项目,热管理,SOP阶段,GR8 项目总结,量产成本闭环,成本闭环,成本经理,韩知夏,项目管理部,,C样成本复核表,量产成本闭环报告,项目财务经理,会签,GR8-026,首批订单完成后,SOP后15个工作日,是,V2.0,2025-03-15,U018;MIN-014
T027,青衡高压电源项目,传动系统,SOP阶段,GR8 项目总结,项目经验总结,项目总结,项目经理,周宁,项目管理部,,项目过程资料,项目经验总结报告,项目经理,单人审批,GR8-027,项目总结会排期后,SOP后15个工作日,是,V2.0,2025-03-15,SYS-V1继承
T028,启岚整机集成项目,电机,准备阶段,GR1 项目启动评审,电机接口边界确认,电机边界,系统工程师,陆知衡,电机系统部,系统工程部、电控软件部,立项批准记录,电机接口边界确认表,项目经理,会签,GR1-028,GR0通过后,GR1前4个工作日,是,V2.0,2025-03-15,SYS-V1继承
T029,曜川电驱平台项目,电机,策划阶段,GR2 方案冻结评审,电机控制策略评审,控制策略,系统工程师,方澄远,电机系统部,电控软件部、测试验证部,系统需求规格说明书,电机控制策略评审记录,系统工程师,会签,GR2-029,控制目标冻结后,GR2前4个工作日,是,V2.0,2025-03-15,U002;APPT-002
T030,澜星热管理总成项目,电机,A样阶段,GR3 A样启动评审,电机样件测试,样件测试,测试工程师,秦若南,电机系统部,电机系统部、测试验证部,A样设计输入冻结单,电机样件测试报告,质量工程师,会签,GR3-030,电机A样入库后,测试完成后3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T031,青衡高压电源项目,电机,B1样阶段,GR4 B样启动评审,电机NVH问题分析,NVH分析,系统工程师,陆知衡,电机系统部,测试验证部,电机样件测试报告,电机NVH问题分析表,项目经理,会签,GR4-031,B1样NVH异常触发,问题提出后5个工作日,是,V2.0,2025-03-15,SYS-V1继承
T032,启岚整机集成项目,电机,B2样阶段,GR5 设计冻结评审,电机DV测试,DV测试,测试工程师,秦若南,电机系统部,电机系统部,B2样测试计划,电机DV测试报告及问题闭环表,质量工程师,会签,GR5-032,B2样件齐套后,GR5后10个工作日内,是,V2.0,2025-03-15,U011;MIN-007
T033,曜川电驱平台项目,电机,C样阶段,GR6 生产件批准评审,电机OTS认可,OTS认可,质量工程师,何沐川,质量管理部,采购部、制造工程部,电机DV测试报告,电机OTS认可单,质量工程师,会签,GR6-033,C样电机供应状态冻结后,GR6前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T034,澜星热管理总成项目,电机,D样阶段,GR7 SOP准备评审,电机产线节拍确认,节拍确认,制造工程师,傅景元,制造工程部,电机系统部,D样生产验证报告,电机产线节拍确认表,制造工程师,单人审批,GR7-034,D样产线试运行后,GR7前4个工作日,是,V2.0,2025-03-15,SYS-V1继承
T035,青衡高压电源项目,电机,SOP阶段,GR8 项目总结,电机量产异常闭环,量产异常,质量工程师,何沐川,质量管理部,制造工程部,SOP首批问题清单,电机量产异常闭环表,项目经理,会签,GR8-035,电机首批问题出现后,SOP后8个工作日,是,V2.0,2025-03-15,SYS-V1继承
T036,启岚整机集成项目,电控,准备阶段,GR1 项目启动评审,控制器接口边界确认,控制器边界,系统工程师,陆知衡,电控软件部,硬件开发部、软件开发部,立项批准记录,控制器接口边界确认表,项目经理,会签,GR1-036,GR0通过后,GR1前4个工作日,是,V2.0,2025-03-15,SYS-V1继承
T037,曜川电驱平台项目,电控,策划阶段,GR2 方案冻结评审,软件需求冻结,软件需求,软件工程师,邵予白,电控软件部,系统工程部,系统需求规格说明书,软件需求冻结单,系统工程师,会签,GR2-037,系统需求分解完成后,GR2前4个工作日,是,V2.0,2025-03-15,U003;APPT-003
T038,澜星热管理总成项目,电控,策划阶段,GR2 方案冻结评审,控制器硬件评审,硬件评审,硬件工程师,沈清和,电控软件部,硬件开发部、质量管理部,系统需求规格说明书,控制器硬件评审记录,硬件工程师,会签,GR2-038,控制器规格定义后,GR2前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T039,青衡高压电源项目,电控,A样阶段,GR3 A样启动评审,电控软件单元测试,单元测试,软件工程师,乔安澜,电控软件部,测试验证部,软件需求冻结单,电控软件单元测试报告,软件工程师,单人审批,GR3-039,A样代码冻结后,代码冻结后5个工作日,是,V2.0,2025-03-15,SYS-V1继承
T040,启岚整机集成项目,电控,B1样阶段,GR4 B样启动评审,软件集成测试,集成测试,测试工程师,秦若南,电控软件部,软件开发部,电控软件单元测试报告,软件集成测试报告,质量工程师,会签,GR4-040,B1软件包发布后,测试完成后3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T041,曜川电驱平台项目,电控,B1样阶段,GR4 B样启动评审,诊断功能评审,诊断评审,软件工程师,乔安澜,电控软件部,系统工程部,软件集成测试报告,诊断功能评审记录,系统工程师,会签,GR4-041,诊断需求冻结后,GR4前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T042,澜星热管理总成项目,电控,B2样阶段,GR5 设计冻结评审,控制器EMC问题关闭,EMC关闭,硬件工程师,沈清和,电控软件部,测试验证部,B1样验证报告,控制器EMC问题关闭单,质量工程师,会签,GR5-042,EMC问题清单发布后,GR5前2个工作日,是,V2.0,2025-03-15,SYS-V1继承
T043,青衡高压电源项目,电控,C样阶段,GR6 生产件批准评审,电控EOL测试脚本确认,EOL脚本,制造工程师,傅景元,电控软件部,软件开发部,软件集成测试报告,电控EOL测试脚本确认表,制造工程师,会签,GR6-043,C样产线调试开始前,GR6前4个工作日,是,V2.0,2025-03-15,U017;MIN-013
T044,启岚整机集成项目,电控,SOP阶段,GR8 项目总结,电控软件版本归档,软件归档,软件工程师,乔安澜,电控软件部,质量管理部,SOP配置清单,电控软件版本归档记录,项目经理,会签,GR8-044,SOP软件版本发布后,SOP后3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T045,曜川电驱平台项目,电源,准备阶段,GR1 项目启动评审,高压接口边界确认,高压边界,硬件工程师,沈清和,电源开发部,系统工程部、整机集成部,立项批准记录,高压接口边界确认表,项目经理,会签,GR1-045,GR0通过后,GR1前4个工作日,是,V2.0,2025-03-15,SYS-V1继承
T046,澜星热管理总成项目,电源,策划阶段,GR2 方案冻结评审,电池包接口评审,电池接口,硬件工程师,顾景初,电源开发部,系统工程部、电源开发部,系统需求规格说明书,电池包接口评审记录,系统工程师,会签,GR2-046,高压接口定义完成后,GR2前4个工作日,是,V2.0,2025-03-15,U004;APPT-004
T047,青衡高压电源项目,电源,策划阶段,GR2 方案冻结评审,高压安全评审,高压安全,质量工程师,何沐川,质量管理部,硬件开发部,系统需求规格说明书,高压安全评审记录,项目经理,会签,GR2-047,高压方案形成后,GR2前3个工作日,是,V2.0,2025-03-15,U013;MIN-009
T048,启岚整机集成项目,电源,A样阶段,GR3 A样启动评审,BMS功能测试,BMS测试,测试工程师,秦若南,电源开发部,软件开发部,A样设计输入冻结单,BMS功能测试报告,质量工程师,会签,GR3-048,BMS A样软件发布后,测试完成后3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T049,曜川电驱平台项目,电源,B1样阶段,GR4 B样启动评审,电源热失控风险复核,热失控复核,质量工程师,何沐川,质量管理部,热管理开发部,BMS功能测试报告,电源热失控风险复核表,质量工程师,会签,GR4-049,B1风险评审触发后,GR4前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T050,澜星热管理总成项目,电源,B2样阶段,GR5 设计冻结评审,电源BOM冻结,电源BOM,硬件工程师,沈清和,电源开发部,采购部,设计冻结评审包,电源BOM冻结清单,采购工程师,会签,GR5-050,电源设计冻结后,GR5前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T051,青衡高压电源项目,电源,C样阶段,GR6 生产件批准评审,电源PPAP样件确认,电源PPAP,供应商质量工程师,姜予安,质量管理部,电源开发部,PPAP资料包,电源PPAP样件确认单,质量工程师,会签,GR6-051,C样供应商样件到货后,GR6前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T052,启岚整机集成项目,电源,D样阶段,GR7 SOP准备评审,高压下线检测确认,下线检测,制造工程师,傅景元,制造工程部,质量管理部,D样生产验证报告,高压下线检测确认表,制造工程师,单人审批,GR7-052,D样高压检测完成后,GR7前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T053,曜川电驱平台项目,整机,准备阶段,GR1 项目启动评审,整车集成边界确认,集成边界,系统工程师,陆知衡,整机集成部,系统工程部,虚构整车边界条件,整车集成边界确认表,项目经理,会签,GR1-053,GR0通过后,GR1前4个工作日,是,V2.0,2025-03-15,SYS-V1继承
T054,澜星热管理总成项目,整机,策划阶段,GR2 方案冻结评审,整车集成评审,集成评审,结构工程师,林越川,整机集成部,系统工程部、测试验证部,系统需求规格说明书,整车集成评审记录,项目经理,会签,GR2-054,系统方案形成后,GR2前4个工作日,是,V2.0,2025-03-15,U005;APPT-005
T055,青衡高压电源项目,整机,A样阶段,GR3 A样启动评审,整车装配可行性评审,装配评审,制造工程师,傅景元,制造工程部,整机集成部,A样结构样件图,整车装配可行性评审表,制造工程师,会签,GR3-055,A样结构方案完成后,GR3前2个工作日,是,V2.0,2025-03-15,SYS-V1继承
T056,启岚整机集成项目,整机,B1样阶段,GR4 B样启动评审,整车道路试验,道路试验,测试工程师,秦若南,整机集成部,整机集成部,B1样验证计划,整车道路试验报告,质量工程师,会签,GR4-056,B1样装车完成后,试验完成后7个工作日,是,V2.0,2025-03-15,U019;MIN-015
T057,曜川电驱平台项目,整机,B2样阶段,GR5 设计冻结评审,整车问题关闭,整车关闭,项目经理,周宁,项目管理部,质量管理部,整车道路试验报告,整车问题关闭清单,项目经理,会签,GR5-057,道路试验问题发布后,GR5前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T058,澜星热管理总成项目,整机,C样阶段,GR6 生产件批准评审,整车一致性检查,一致性检查,质量工程师,何沐川,质量管理部,制造工程部,PPAP资料包,整车一致性检查表,质量工程师,会签,GR6-058,C样装车完成后,GR6前2个工作日,是,V2.0,2025-03-15,SYS-V1继承
T059,青衡高压电源项目,整机,SOP阶段,GR8 项目总结,整车售后问题转交,售后转交,质量工程师,何沐川,质量管理部,项目管理部,SOP首批问题清单,整车售后问题转交单,项目经理,会签,GR8-059,SOP问题收敛后,SOP后10个工作日,是,V2.0,2025-03-15,SYS-V1继承
T060,启岚整机集成项目,热管理,准备阶段,GR1 项目启动评审,热管理边界条件确认,热边界,系统工程师,陆知衡,热管理开发部,整机集成部,立项批准记录,热管理边界条件确认表,项目经理,会签,GR1-060,GR0通过后,GR1前4个工作日,是,V2.0,2025-03-15,SYS-V1继承
T061,曜川电驱平台项目,热管理,策划阶段,GR2 方案冻结评审,热管理方案评审,热管理方案,系统工程师,陆知衡,热管理开发部,整机集成部,系统需求规格说明书,热管理方案评审记录,系统工程师,会签,GR2-061,热负荷目标确认后,GR2前4个工作日,是,V2.0,2025-03-15,SYS-V1继承
T062,澜星热管理总成项目,热管理,A样阶段,GR3 A样启动评审,冷却系统台架测试,冷却台架,测试工程师,秦若南,热管理开发部,热管理开发部,热管理方案评审记录,冷却系统台架测试报告,质量工程师,会签,GR3-062,A样冷却回路搭建后,测试完成后3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T063,青衡高压电源项目,热管理,B1样阶段,GR4 B样启动评审,冷却系统验证,冷却验证,测试工程师,夏南栀,热管理开发部,整机集成部,冷却系统台架测试报告,冷却系统验证报告,质量工程师,会签,GR4-063,B1样热管理件齐套后,GR4前3个工作日,是,V2.0,2025-03-15,U006;APPT-006
T064,启岚整机集成项目,热管理,B2样阶段,GR5 设计冻结评审,热管理管路冻结,管路冻结,结构工程师,叶云澈,热管理开发部,热管理开发部,冷却系统验证报告,热管理管路冻结图,系统工程师,会签,GR5-064,B2样设计冻结前,GR5前3个工作日,是,V2.0,2025-03-15,U016;MIN-012
T065,曜川电驱平台项目,热管理,C样阶段,GR6 生产件批准评审,热管理供应商过程审核,过程审核,供应商质量工程师,姜予安,质量管理部,采购部,PPAP资料包,热管理供应商过程审核表,质量工程师,会签,GR6-065,C样供应商审核排期后,GR6前5个工作日,是,V2.0,2025-03-15,SYS-V1继承
T066,澜星热管理总成项目,热管理,D样阶段,GR7 SOP准备评审,冷却液加注工艺确认,加注确认,工艺工程师,罗星野,制造工程部,制造工程部,D样生产验证报告,冷却液加注工艺确认表,制造工程师,会签,GR7-066,D样产线调试后,GR7前4个工作日,是,V2.0,2025-03-15,SYS-V1继承
T067,青衡高压电源项目,热管理,SOP阶段,GR8 项目总结,热管理售后诊断资料归档,诊断归档,系统工程师,陆知衡,热管理开发部,质量管理部,项目经验总结报告,热管理售后诊断资料包,项目经理,会签,GR8-067,SOP后资料归档启动,SOP后15个工作日,是,V2.0,2025-03-15,SYS-V1继承
T068,启岚整机集成项目,传动系统,策划阶段,GR2 方案冻结评审,传动匹配方案评审,匹配评审,系统工程师,陆知衡,整机集成部,整机集成部,系统需求规格说明书,传动匹配方案评审记录,项目经理,会签,GR2-068,传动目标定义后,GR2前4个工作日,是,V2.0,2025-03-15,SYS-V1继承
T069,曜川电驱平台项目,传动系统,A样阶段,GR3 A样启动评审,减速器样件检查,减速器检查,测试工程师,秦若南,整机集成部,质量管理部,A样设计输入冻结单,减速器样件检查报告,质量工程师,会签,GR3-069,A样减速器入库后,检查完成后2个工作日,是,V2.0,2025-03-15,SYS-V1继承
T070,澜星热管理总成项目,传动系统,B1样阶段,GR4 B样启动评审,传动效率测试,效率测试,测试工程师,秦若南,整机集成部,测试验证部,减速器样件检查报告,传动效率测试报告,质量工程师,会签,GR4-070,B1样台架准备完成后,测试完成后3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T071,青衡高压电源项目,传动系统,B2样阶段,GR5 设计冻结评审,传动系统设计冻结,传动冻结,系统工程师,陆知衡,整机集成部,质量管理部,传动效率测试报告,传动系统设计冻结报告,项目经理,会签,GR5-071,效率问题关闭后,GR5前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T072,启岚整机集成项目,传动系统,C样阶段,GR6 生产件批准评审,传动系统PPAP复核,传动PPAP,供应商质量工程师,姜予安,质量管理部,采购部,PPAP资料包,传动系统PPAP复核表,质量工程师,会签,GR6-072,C样PPAP资料齐套后,GR6前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T073,曜川电驱平台项目,传动系统,D样阶段,GR7 SOP准备评审,传动系统产线防错确认,防错确认,制造工程师,傅景元,制造工程部,质量管理部,D样生产验证报告,传动系统产线防错确认表,制造工程师,单人审批,GR7-073,D样产线防错验证后,GR7前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T074,澜星热管理总成项目,传动系统,SOP阶段,GR8 项目总结,传动系统量产偏差复盘,偏差复盘,质量工程师,何沐川,质量管理部,制造工程部,SOP首批问题清单,传动系统量产偏差复盘表,项目经理,会签,GR8-074,SOP首批完成后,SOP后10个工作日,是,V2.0,2025-03-15,SYS-V1继承
T075,青衡高压电源项目,车载软件,准备阶段,GR1 项目启动评审,软件工具链准备确认,工具链确认,软件工程师,乔安澜,软件开发部,质量管理部,项目主计划,软件工具链准备确认表,项目经理,会签,GR1-075,GR0通过后,GR1前4个工作日,是,V2.0,2025-03-15,SYS-V1继承
T076,启岚整机集成项目,车载软件,策划阶段,GR2 方案冻结评审,车载软件架构评审,软件架构,软件工程师,乔安澜,软件开发部,系统工程部,系统需求规格说明书,车载软件架构评审记录,系统工程师,会签,GR2-076,软件需求冻结后,GR2前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T077,曜川电驱平台项目,车载软件,A样阶段,GR3 A样启动评审,车载软件开源组件清单,开源清单,软件工程师,乔安澜,软件开发部,质量管理部,车载软件架构评审记录,车载软件开源组件清单,质量工程师,会签,GR3-077,A样代码基线建立后,GR3前2个工作日,是,V2.0,2025-03-15,SYS-V1继承
T078,澜星热管理总成项目,车载软件,B1样阶段,GR4 B样启动评审,车载软件集成回归测试,回归测试,测试工程师,秦若南,软件开发部,软件开发部,车载软件开源组件清单,车载软件集成回归测试报告,质量工程师,会签,GR4-078,B1软件包发布后,测试完成后3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T079,青衡高压电源项目,车载软件,B2样阶段,GR5 设计冻结评审,车载软件版本冻结,版本冻结,软件工程师,邵予白,软件开发部,质量管理部,车载软件集成回归测试报告,车载软件版本冻结单,项目经理,会签,GR5-079,B2软件版本发布后,GR5前2个工作日,是,V2.0,2025-03-15,U007;APPT-007
T080,启岚整机集成项目,车载软件,C样阶段,GR6 生产件批准评审,车载软件刷写流程确认,刷写确认,制造工程师,傅景元,制造工程部,软件开发部,车载软件版本冻结单,车载软件刷写流程确认表,制造工程师,会签,GR6-080,C样产线调试开始前,GR6前4个工作日,是,V2.0,2025-03-15,SYS-V1继承
T081,曜川电驱平台项目,车载软件,D样阶段,GR7 SOP准备评审,车载软件量产发布检查,发布检查,软件工程师,乔安澜,软件开发部,质量管理部,车载软件刷写流程确认表,车载软件量产发布检查单,项目经理,会签,GR7-081,D样发布候选版本生成后,GR7前3个工作日,是,V2.0,2025-03-15,SYS-V1继承
T082,澜星热管理总成项目,车载软件,SOP阶段,GR8 项目总结,车载软件配置基线归档,基线归档,软件工程师,乔安澜,软件开发部,项目管理部,车载软件量产发布检查单,量产软件配置基线包,项目经理,会签,GR8-082,SOP版本确认后,SOP后3个工作日,是,V2.0,2025-03-15,U012;MIN-008
T083,青衡高压电源项目,整机,策划阶段,GR2 方案冻结评审,功能安全影响分析,功能安全,系统工程师,陆知衡,整机集成部,系统工程部、质量管理部,系统需求规格说明书,功能安全影响分析表,质量工程师,会签,GR2-083,系统需求分解完成后,GR2前5个工作日,是,V2.0,2025-03-15,MIN-001;U021
T084,启岚整机集成项目,电源,A样阶段,GR3 A样启动评审,高压互锁检查,HVIL检查,硬件工程师,沈清和,电源开发部,电源开发部、测试验证部,A样设计输入冻结单,高压互锁检查记录,质量工程师,会签,GR3-084,电源A样上电前,上电前2个工作日,是,V2.0,2025-03-15,MIN-002;U022
T085,曜川电驱平台项目,电控,B1样阶段,GR4 B样启动评审,诊断DTC一致性检查,DTC检查,软件工程师,乔安澜,电控软件部,系统工程部,诊断功能评审记录,诊断DTC一致性检查表,系统工程师,会签,GR4-085,B1诊断软件发布后,GR4前2个工作日,是,V2.0,2025-03-15,MIN-003;U023
T086,澜星热管理总成项目,热管理,C样阶段,GR6 生产件批准评审,冷却液泄漏复核,泄漏复核,测试工程师,秦若南,热管理开发部,热管理开发部、制造工程部,冷却系统验证报告,冷却液泄漏复核表,质量工程师,会签,GR6-086,C样冷却回路装配后,GR6前3个工作日,是,V2.0,2025-03-15,CHAT-014;MIN-017;U024
T087,青衡高压电源项目,车载软件,A样阶段,GR3 A样启动评审,开源组件合规确认,开源合规,软件工程师,乔安澜,软件开发部,质量管理部,车载软件架构评审记录,开源组件合规确认单,质量工程师,会签,GR3-087,A样代码基线建立后,GR3前2个工作日,是,V2.0,2025-03-15,MIN-018;U025
T088,启岚整机集成项目,车载软件,B1样阶段,GR4 B样启动评审,B1样人工复核记录,人工复核,质量工程师,何沐川,质量管理部,项目管理部,B1样验证报告,B1样人工复核记录表,项目经理,会签,GR4-088,关键结论提交后,提交后1个工作日,是,V2.0,2025-03-15,CHAT-001;MIN-017;U026
T089,曜川电驱平台项目,传动系统,C样阶段,GR6 生产件批准评审,传动供应商变更复核,供应商变更,供应商质量工程师,姜予安,质量管理部,采购部、质量管理部,传动系统PPAP复核表,传动供应商变更复核表,质量工程师,会签,GR6-089,供应商工艺变更提出后,GR6前3个工作日,是,V2.0,2025-03-15,MIN-018;U027
T090,澜星热管理总成项目,传动系统,SOP阶段,GR8 项目总结,SOP配置差异复盘,配置复盘,项目经理,周宁,项目管理部,系统工程部、质量管理部,项目经验总结报告,SOP配置差异复盘报告,项目经理,单人审批,GR8-090,项目总结启动后,SOP后12个工作日,是,V2.0,2025-03-15,MIN-018;U028
